                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 0.7065,                  1.456,                0.53235,                 1.0702,                0.88898,                0.78033,                0.86082,                0.65208,                0.86745,                0.76135,                0.81944,                0.54088,                0.89429,                 2.2555,                0.81686,                 1.2981,             0.00012024,             0.00012024,             0.00012024
                     86,                0.71788,                 1.4774,                0.53178,                 1.0767,                0.88559,                0.80004,                0.86467,                0.66159,                0.86687,                 0.7849,                0.83014,                0.54678,                0.87353,                 2.2106,                0.78379,                 1.2676,             0.00011317,             0.00011317,             0.00011317
                     87,                0.69387,                 1.4477,                0.51529,                 1.0657,                0.89648,                0.77556,                0.84902,                0.64419,                0.87799,                0.76084,                0.81024,                0.53299,                0.89843,                 2.2611,                0.82362,                 1.3115,              0.0001061,              0.0001061,              0.0001061
                     88,                0.70938,                 1.4628,                0.52551,                 1.0675,                0.87945,                0.80418,                0.86193,                0.65487,                0.87131,                0.77989,                0.82146,                0.54421,                0.89087,                 2.4047,                0.82164,                 1.3046,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.68468,                 1.4431,                0.51377,                 1.0696,                0.88928,                0.78109,                0.84887,                0.64649,                0.86681,                0.76111,                0.81226,                0.53439,                0.89251,                 2.3218,                0.84018,                 1.3057,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.67362,                 1.4442,                0.49905,                 1.0527,                0.90845,                0.79036,                0.85552,                0.64615,                0.88264,                0.76972,                0.81411,                0.53355,                0.88884,                 2.2806,                0.79769,                 1.2921,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.66366,                 1.3668,                0.49921,                 1.0896,                0.87888,                0.76647,                0.84334,                0.63295,                0.84956,                0.74156,                0.80001,                0.52207,                0.89948,                 2.4298,                0.83668,                 1.3264,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.63914,                 1.2999,                 0.4711,                 1.0764,                0.86792,                0.76943,                 0.8445,                0.63707,                0.85026,                0.74669,                0.79675,                0.52356,                0.90644,                 2.4147,                0.85608,                 1.3307,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.65047,                 1.3071,                0.48024,                 1.0965,                0.88735,                0.77568,                0.85648,                0.64859,                0.87139,                0.75665,                0.81483,                0.53711,                0.88666,                 2.3671,                0.80793,                 1.3127,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.65491,                 1.3299,                0.46325,                   1.09,                 0.8835,                0.78024,                0.85024,                0.65099,                0.85993,                0.75894,                 0.8074,                0.53413,                0.89097,                 2.4607,                0.83027,                 1.3186,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.63954,                 1.2861,                0.45903,                 1.0706,                0.89494,                0.78385,                0.85231,                0.65608,                0.87357,                0.76461,                0.81748,                0.54091,                 0.8637,                 2.4235,                 0.7784,                  1.281,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.62589,                 1.2876,                0.45769,                   1.06,                0.87156,                0.77776,                0.84698,                 0.6515,                0.85345,                0.76563,                0.81078,                0.53262,                0.86947,                 2.4215,                0.82276,                 1.2742,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.64571,                 1.3035,                0.46939,                 1.0859,                0.88796,                0.78222,                0.85294,                 0.6597,                 0.8719,                0.76563,                0.81822,                0.54656,                0.87237,                 2.4374,                0.80025,                 1.2965,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.61717,                 1.2757,                0.43358,                  1.049,                0.89744,                0.77824,                0.85503,                0.66041,                0.87515,                0.75753,                0.81916,                0.54377,                0.87721,                 2.4827,                0.79653,                 1.2995,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.60195,                 1.2481,                0.43077,                 1.0499,                0.87373,                0.78391,                0.84945,                0.65498,                0.85674,                0.76343,                0.81179,                0.53679,                0.88177,                 2.4983,                0.82502,                 1.3048,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.60536,                 1.2736,                0.43459,                 1.0482,                0.89649,                0.77791,                0.85681,                0.66304,                0.87015,                0.75543,                0.81534,                0.54747,                0.86901,                 2.4361,                0.79176,                 1.2855,             1.4209e-05,             1.4209e-05,             1.4209e-05
